1.528811[r] 0.415449[g] 1.265529[r] 0.924603[g] 0.312780[g] 0.337575[g] 0.318816[g] 1.703650[g] 0.151467[g] 3.041320[g] 
0.138194[r] 0.939383[g] 1.533892[r] 0.092327[g] 0.549086[g] 0.710664[r] 2.821911[g] 0.541372[r] 0.884354[g] 1.788818[g] 
0.774039[g] 0.674246[g] 2.999282[g] 0.560058[g] 1.946697[g] 0.132342[r] 1.464078[g] 0.242041[r] 0.636403[g] 0.570813[g] 
1.393061[r] 0.081035[g] 0.439133[g] 3.200555[g] 0.603522[r] 1.640620[g] 0.310027[r] 0.951817[g] 0.417190[g] 0.963040[g] 
2.048648[g] 1.170943[r] 0.557634[g] 0.038801[g] 2.715217[g] 0.291447[g] 0.122896[r] 1.851651[g] 0.085910[g] 1.116853[g] 
0.457869[g] 0.367487[r] 0.034420[g] 2.060467[r] 0.606221[g] 2.280198[g] 1.394560[g] 0.313747[g] 1.732545[g] 0.752487[g] 
0.307990[r] 0.223346[g] 0.009571[r] 0.346543[g] 0.945206[g] 1.898600[g] 1.263326[g] 0.285819[g] 0.314723[g] 4.404876[g] 
1.874545[g] 0.548743[r] 0.338804[g] 0.773172[g] 0.526423[g] 0.224499[r] 2.667444[g] 1.113189[g] 1.403306[r] 0.529877[g] 
0.797059[g] 0.217764[g] 0.683008[r] 2.585145[g] 1.704658[r] 0.555180[g] 0.626291[g] 0.695927[r] 0.266592[g] 1.868376[g] 
0.131595[r] 0.243797[g] 1.013239[g] 0.598438[g] 0.384083[r] 2.442543[g] 1.084507[g] 1.502791[g] 2.389277[r] 0.209731[g] 
2.091380[r] 0.132885[g] 1.641740[g] 1.380680[g] 0.434230[g] 0.442349[g] 0.090964[r] 0.220999[g] 2.130896[r] 1.433877[g] 
0.943077[g] 0.563602[g] 1.294235[g] 0.533264[r] 0.351181[g] 1.526390[g] 1.525930[g] 1.983800[r] 0.809273[g] 0.469248[g] 
1.503093[g] 1.188448[g] 0.847283[g] 3.189278[r] 0.459111[g] 0.103496[g] 0.020924[g] 2.139880[r] 0.400355[g] 0.148134[g] 
1.931870[g] 0.176382[g] 0.335065[g] 0.117340[g] 0.467250[r] 1.314286[g] 0.794338[g] 2.346415[r] 2.068100[g] 0.448953[g] 
0.294605[r] 0.529683[g] 0.074310[r] 0.505355[g] 0.451077[g] 1.387621[g] 3.077321[r] 1.833759[g] 0.487395[r] 1.358875[g] 
0.128006[r] 1.457041[g] 1.143370[g] 0.890831[g] 1.851491[g] 0.341077[g] 0.141832[g] 3.204501[g] 0.099459[r] 0.742393[g] 
1.469315[r] 2.327283[g] 0.684042[g] 0.914709[r] 1.690948[g] 0.048750[g] 1.821356[r] 0.590772[g] 0.026749[r] 0.426076[g] 
0.793278[g] 1.454236[r] 0.747660[g] 0.791690[g] 0.619848[g] 2.106635[g] 0.983266[r] 0.505976[g] 1.707737[g] 0.289674[g] 
0.210492[r] 0.429700[g] 3.247960[g] 0.800678[g] 2.311140[g] 1.422576[g] 0.237912[g] 0.674610[r] 0.462483[g] 0.202451[g] 
0.177167[r] 0.987771[g] 0.607900[g] 1.440422[r] 0.454598[g] 2.890300[g] 0.743395[r] 0.781384[g] 0.430838[g] 1.486224[g] 
2.049262[g] 2.017736[r] 0.108115[g] 0.449568[r] 0.072340[g] 0.011103[g] 0.628043[g] 2.151021[g] 0.502576[g] 2.010236[g] 
0.056226[r] 0.191020[g] 1.350162[g] 0.117483[g] 1.027650[g] 0.257676[r] 1.533605[g] 0.457934[g] 2.955444[g] 2.052800[g] 
1.200737[g] 1.161341[r] 0.770561[g] 1.053265[g] 0.787199[r] 0.596972[g] 0.257491[g] 3.355812[g] 0.567993[r] 0.248628[g] 
0.225568[g] 0.444871[r] 1.522104[g] 1.674005[r] 0.699518[g] 0.260134[g] 1.341793[g] 0.331557[g] 1.480335[r] 2.020115[g] 
0.003780[g] 0.970181[r] 0.549025[g] 0.748445[r] 3.993942[g] 1.605639[g] 0.174505[g] 0.236415[r] 1.503604[g] 0.214463[g] 
0.320147[r] 1.308175[g] 0.096682[g] 1.591442[g] 0.129697[r] 1.764399[g] 2.385402[r] 0.079461[g] 2.254160[r] 0.070435[g] 
0.120243[g] 0.873438[g] 0.556942[g] 1.578133[r] 1.232505[g] 0.710457[g] 0.559672[r] 2.669370[g] 0.034513[r] 1.664729[g] 
2.767168[g] 0.408015[r] 1.087443[g] 0.645571[g] 0.556587[g] 0.449453[r] 0.311727[g] 0.227721[g] 2.783980[r] 0.762337[g] 
0.524630[g] 0.085049[g] 1.196246[r] 3.116374[g] 0.815192[g] 0.248309[g] 0.361564[g] 0.008225[r] 2.365225[g] 1.279187[g] 
0.539337[g] 0.737447[r] 1.157993[g] 0.234206[g] 1.968224[r] 1.513420[g] 0.047062[r] 0.392181[g] 1.787142[g] 1.622990[g] 
0.442649[g] 0.062017[r] 0.255469[g] 1.489705[g] 2.497822[r] 1.782503[g] 0.399084[g] 1.107076[g] 1.917053[g] 0.046624[g] 
1.799080[r] 0.691908[g] 2.589181[g] 1.027172[r] 0.035286[g] 1.810804[g] 0.189822[g] 0.483692[g] 0.179661[r] 1.193393[g] 
1.918493[r] 0.261207[g] 0.058067[r] 0.119491[g] 1.130620[g] 2.473707[g] 0.902110[g] 1.242312[g] 0.562766[g] 1.331227[g] 
1.568458[r] 0.358064[g] 0.067703[g] 0.580689[g] 1.442732[r] 1.422399[g] 0.415975[g] 1.813799[g] 0.558104[r] 1.772077[g] 
1.399678[g] 0.455796[r] 1.909225[g] 1.493883[g] 1.961743[r] 0.090245[g] 0.129577[g] 1.358669[r] 0.954904[g] 0.246280[g] 
1.306950[g] 0.239576[r] 0.048234[g] 0.634329[g] 1.513133[g] 0.302067[g] 1.511795[g] 2.951539[r] 0.327436[g] 1.164941[g] 
0.356678[r] 0.061901[g] 0.103320[g] 1.155531[r] 1.750181[g] 1.695908[g] 1.106618[g] 1.020296[r] 2.506102[g] 0.243464[g] 
0.515501[g] 0.075183[r] 0.309460[g] 1.449189[g] 0.750396[r] 0.696488[g] 1.059920[g] 0.022139[g] 2.567619[g] 2.554103[g] 
0.859079[g] 1.188813[g] 2.335794[r] 0.038092[g] 0.206343[g] 0.648737[g] 0.900409[r] 0.123677[g] 0.437381[g] 3.261675[g] 
2.724376[g] 0.330971[g] 0.451963[g] 0.965554[r] 0.965555[g] 1.614021[r] 0.193307[g] 1.473483[g] 0.749533[r] 0.531237[g] 
0.168167[g] 1.457792[g] 0.761746[g] 1.948754[g] 1.148288[g] 1.376479[r] 1.081311[g] 0.585042[g] 0.138401[g] 1.334022[g] 
0.132717[r] 1.810895[g] 1.805739[g] 1.568628[g] 1.120269[g] 0.554125[g] 0.125881[g] 1.637025[r] 0.463124[g] 0.781598[g] 
0.881484[r] 0.274081[g] 1.676914[r] 1.463524[g] 0.410380[g] 0.683420[g] 1.904115[g] 0.392328[r] 0.133585[g] 2.180168[g] 
0.721749[r] 0.648587[g] 0.177794[g] 0.296379[g] 0.674981[r] 1.592046[g] 1.351490[g] 2.241632[g] 1.718340[g] 0.577001[g] 
0.108993[g] 2.882109[g] 1.989182[r] 0.433765[g] 0.858492[r] 0.955881[g] 0.177494[g] 0.073450[r] 2.002350[g] 0.518285[g] 
1.278453[r] 0.386063[g] 0.266315[g] 2.794156[g] 0.362194[r] 2.055683[g] 0.298910[g] 0.618034[g] 0.626437[g] 1.313755[g] 
0.147467[g] 0.034582[g] 0.852831[r] 1.391977[g] 2.168041[g] 0.664329[g] 0.844810[r] 1.221027[g] 2.546113[g] 0.128824[g] 
1.280839[r] 0.114992[g] 3.514221[g] 0.917238[g] 0.200818[g] 0.544348[r] 1.033864[g] 1.925233[g] 0.416403[r] 0.052044[g] 
0.253230[g] 1.803775[r] 0.395367[g] 0.620422[g] 1.098829[g] 2.738983[g] 2.198875[g] 0.230261[g] 0.463113[r] 0.197147[g] 
0.297619[g] 0.468844[g] 1.962654[g] 0.319883[r] 1.651951[g] 1.142569[g] 1.036588[r] 1.208442[g] 0.713187[g] 1.198263[g] 
0.852269[g] 0.282854[g] 1.151859[g] 0.232916[r] 2.317226[g] 1.516610[r] 0.139437[g] 0.670332[r] 0.632535[g] 2.203961[g] 
0.373517[r] 0.025517[g] 0.900560[g] 0.652097[r] 1.968553[g] 0.900292[g] 1.528996[r] 0.652697[g] 1.107017[g] 1.890754[g] 
0.645259[r] 1.755287[g] 1.795247[g] 1.285576[r] 0.667681[g] 2.084170[g] 0.717170[r] 0.815189[g] 0.077119[g] 0.157302[g] 
0.534529[g] 0.945191[g] 0.380656[g] 0.860530[r] 0.935080[g] 1.737058[g] 1.935066[g] 0.508694[g] 0.164662[g] 1.998535[g] 
0.462045[g] 0.684234[g] 0.283717[r] 1.492108[g] 0.351936[g] 0.423698[g] 2.446370[g] 1.952941[g] 0.992256[g] 0.910695[g] 
0.299020[r] 1.979434[g] 0.382387[g] 1.051890[g] 0.144726[g] 0.890524[g] 0.783724[r] 0.920392[g] 0.197142[g] 3.350761[g] 
0.210222[r] 1.689132[g] 0.065858[g] 0.561300[g] 0.049732[g] 1.601267[r] 0.509055[g] 0.437894[g] 1.804168[g] 3.071371[g] 
0.318252[g] 1.445442[g] 0.204126[r] 0.212218[g] 1.870618[g] 4.028170[r] 0.503927[g] 0.193820[g] 0.904331[r] 0.319095[g] 
1.801582[r] 0.818670[g] 1.790418[g] 2.890327[g] 0.314776[r] 0.945222[g] 0.063813[g] 0.689402[r] 0.541104[g] 0.144685[g] 
0.436100[r] 3.032364[g] 0.374225[g] 0.690304[r] 0.786069[g] 2.284303[r] 0.666780[g] 0.393717[g] 0.604805[g] 0.731332[g] 
1.140842[r] 0.047921[g] 0.169886[r] 0.028255[g] 2.699397[r] 0.094887[g] 0.434661[g] 0.852019[g] 1.916296[r] 2.615837[g] 
0.929355[g] 0.096141[r] 4.907517[g] 0.048919[r] 1.041391[g] 0.148090[g] 0.568644[g] 0.550516[g] 0.044145[r] 1.665281[g] 
2.773163[g] 0.934179[r] 0.744639[g] 0.005821[g] 0.262543[g] 0.458688[g] 0.576808[g] 0.474719[g] 3.160392[r] 0.609047[g] 
3.152461[r] 0.354011[g] 1.260443[r] 0.456452[g] 1.579260[g] 0.395852[g] 1.278207[g] 0.267829[g] 0.030203[r] 1.225283[g] 
1.161909[g] 1.309621[g] 0.945174[g] 2.517451[g] 0.707784[r] 0.119861[g] 1.188811[g] 0.116048[g] 0.076661[r] 1.856680[g] 
0.604962[r] 0.688415[g] 0.373239[g] 0.016711[g] 0.352675[r] 0.391921[g] 4.726781[g] 0.947295[r] 1.173591[g] 0.724411[g] 
0.358455[g] 0.116404[g] 0.924256[r] 1.908618[g] 1.763476[g] 1.290382[r] 0.429470[g] 2.117260[g] 0.576086[g] 0.515594[g] 
0.338084[r] 1.547253[g] 0.073300[g] 2.466651[r] 0.800596[g] 3.073681[r] 1.069720[g] 0.172525[g] 0.104661[r] 0.353528[g] 
0.229977[g] 0.494408[g] 0.187916[r] 1.258492[g] 0.453858[g] 1.066006[g] 0.463223[g] 2.253095[g] 3.132218[r] 0.460807[g] 
1.465190[g] 0.238183[r] 0.199439[g] 3.763728[g] 1.560432[g] 2.042707[g] 0.583981[r] 0.015372[g] 0.003596[g] 0.127372[g] 
0.816491[r] 2.894024[g] 0.383911[r] 0.279786[g] 0.189158[g] 0.573138[g] 0.688104[g] 0.786580[r] 3.350019[g] 0.038789[g] 
0.343156[g] 0.203197[g] 1.401742[g] 1.687699[g] 1.186478[r] 0.339804[g] 1.922811[g] 0.282135[r] 1.249744[g] 1.383234[g] 
0.270813[g] 0.153446[r] 1.047507[g] 0.159093[g] 0.018696[g] 1.898763[g] 0.192229[g] 4.323556[r] 1.397388[g] 0.538510[g] 
